"","year","zone","count.65","mean.65","stdev.65","sum.65","count.73","mean.73","stdev.73","sum.73","count.81","mean.81","stdev.81","sum.81","count.89","mean.89","stdev.89","sum.89","count.97","mean.97","stdev.97","sum.97","count.105","mean.105","stdev.105","sum.105","count.113","mean.113","stdev.113","sum.113","count.121","mean.121","stdev.121","sum.121","count.129","mean.129","stdev.129","sum.129","count.137","mean.137","stdev.137","sum.137","count.145","mean.145","stdev.145","sum.145","count.153","mean.153","stdev.153","sum.153","count.161","mean.161","stdev.161","sum.161","count.169","mean.169","stdev.169","sum.169","count.177","mean.177","stdev.177","sum.177","count.185","mean.185","stdev.185","sum.185","count.193","mean.193","stdev.193","sum.193","count.201","mean.201","stdev.201","sum.201","count.209","mean.209","stdev.209","sum.209","count.233","mean.233","stdev.233","sum.233"
"1",2008,38079,2419,7.14998,0.726173,17295.8,1828,30.093,3.51018,55010,2425,40.5818,2.33602,98410.9,2416,46.3786,3.62015,112051,2113,187.188,16.8584,395529,2429,279.087,24.1089,677903,2427,93.5666,13.1034,227086,2429,156.159,21.4839,379309,2003,181.293,21.3704,363131,2429,218.352,47.6748,530377,2429,200.466,28.4823,486931,2429,227.408,26.751,552374,1165,225.309,10.6514,262485,2425,312.98,22.5807,758977,2429,411.171,32.7394,998734,2429,368.899,16.4601,896057,2429,457.277,16.3661,1110730,2429,419.017,21.7213,1017790,2429,378.967,23.9701,920510,2429,407.675,21.076,990242
"2",2008,38009,4381,9.4754,2.11339,41511.7,4174,36.2023,7.49379,151108,4399,63.3663,13.9013,278748,4358,61.6816,10.1962,268808,4095,183.667,28.721,752116,4395,278.538,31.7368,1224170,4398,95.9584,15.2564,422025,4399,158.192,24.2912,695885,4082,185.898,20.0592,758834,4399,202.666,37.4447,891528,4399,189.111,21.7418,831898,4399,223.781,22.9269,984412,2269,219.621,18.4295,498320,4398,337.748,28.085,1485420,4399,412.644,33.9891,1815220,4399,394.91,29.8575,1737210,4399,467.051,22.9267,2054560,4399,466.601,39.4433,2052580,4399,396.756,30.2194,1745330,4399,405.482,24.0467,1783720
"3",2008,38067,2816,5.95678,0.650145,16774.3,2817,14.7789,2.81324,41632.3,2817,28.287,3.4887,79684.5,2817,42.9,5.72934,120849,2567,125.123,15.998,321192,2817,198.951,23.5589,560445,2817,52.6584,11.6183,148339,2817,112.765,23.9709,317659,2817,122.636,30.1151,345465,2817,180.715,35.0922,509073,2817,184.445,25.9289,519581,2817,173.407,27.0686,488487,1429,226.261,25.2084,323327,2817,386.214,25.8441,1087970,2817,322.762,34.6429,909221,2239,311.107,36.0728,696570,2817,362.947,30.7664,1022420,2817,393.664,23.2396,1108950,2817,379.925,19.7687,1070250,2817,412.009,22.835,1160630
"4",2008,38095,2685,7.42751,1.18362,19942.9,2650,19.304,2.19098,51155.7,2687,31.1116,4.04535,83596.8,2685,47.0365,15.4019,126293,2680,167.149,19.0293,447959,2687,262.452,19.1385,705208,2687,79.0895,10.4465,212513,2687,119.052,15.9288,319892,2496,135.388,26.1084,337928,2687,186.036,30.6824,499878,2680,185.301,27.1996,496606,2687,197.514,15.1966,530721,1093,215.261,13.8983,235280,2684,330.38,29.841,886740,2687,370.401,24.4493,995269,2682,355.87,15.2157,954443,2687,447.032,14.2378,1201170,2687,418.01,12.8642,1123190,2687,403.454,26.6711,1084080,2687,425.571,24.316,1143510
"5",2008,38019,3886,6.3761,0.499633,24777.5,3886,16.3996,1.2563,63729,3890,29.4357,2.04982,114505,3890,40.8708,5.13363,158987,3887,124.308,12.5194,483183,3890,224.396,21.6218,872901,3890,63.2888,9.75945,246193,3890,111.287,14.7435,432907,3872,129.665,19.5214,502063,3890,178.397,24.7887,693963,3882,174.32,29.1239,676710,3890,172.51,23.5432,671066,1382,210.768,22.1194,291282,3890,357.593,38.3639,1391040,3890,376.864,26.1978,1466000,3455,359.579,15.0417,1242340,3890,428.62,22.1047,1667330,3890,428.321,14.468,1666170,3890,399.668,16.5815,1554710,3890,397.463,17.3393,1546130
"6",2008,38023,3338,18.2224,2.01793,60826.3,3334,30.1187,5.8145,100416,3336,68.2266,9.05301,227604,3071,61.4762,9.84967,188794,1362,164.212,42.2436,223657,3346,185.375,22.5129,620264,3344,95.5616,10.0614,319558,3346,120.226,17.654,402275,3317,160.805,26.7722,533389,3346,259.677,31.5857,868879,3346,203.926,12.3733,682336,3346,195.043,27.2859,652613,746,232.428,11.2418,173391,3346,362.546,22.5143,1213080,3346,340.462,36.935,1139190,3346,396.833,18.1498,1327800,3346,434.531,22.4445,1453940,3346,465.047,47.0566,1556050,3346,378.182,28.6278,1265400,3346,317.721,33.3111,1063090
"7",2008,38013,2904,17.1415,3.36461,49778.8,2905,35.7695,6.16659,103910,2906,82.3777,7.06722,239390,2884,59.9619,6.03287,172930,1215,218.268,26.6639,265195,2908,231.744,39.152,673912,2903,101.648,10.9153,295085,2908,137.021,15.1879,398458,2680,181.103,14.6396,485356,2908,267.416,29.4713,777646,2908,203.481,12.4395,591724,2908,233.549,18.8133,679162,1327,242.284,8.40598,321511,2908,363.166,32.5235,1056090,2908,376.384,37.3449,1094520,2908,406.526,17.357,1182180,2908,441.207,24.0152,1283030,2908,497.627,37.176,1447100,2908,392.791,24.7415,1142240,2908,357.087,21.2929,1038410
"8",2008,38075,2341,16.3679,4.06352,38317.2,2341,38.4417,6.46921,89992.1,2341,88.2415,10.2836,206573,2337,64.4191,14.0894,150548,1924,175.63,40.6966,337912,2341,276.507,42.4807,647303,2339,102.189,10.8642,239020,2341,129.12,24.2587,302270,2221,170.859,16.6925,379478,2341,222.555,27.9296,521000,2341,193.989,12.6481,454129,2341,233.735,14.8683,547174,926,230.782,23.9681,213704,2340,362.105,32.4862,847326,2341,406.606,35.9721,951864,2341,420.877,18.4672,985273,2341,472.943,16.9307,1107160,2341,516.872,33.4994,1210000,2341,423.573,27.174,991584,2341,375.04,23.9358,877968
"9",2008,38101,5273,22.4646,6.33273,118456,5274,47.9523,11.3082,252901,5274,84.2018,8.88085,444080,5199,95.8127,16.4112,498130,3764,168.048,42.3187,632534,5274,282.89,38.9562,1491960,5274,87.9182,10.1247,463681,5274,146.097,25.6733,770517,5109,167.483,17.4042,855670,5274,244.754,42.1504,1290840,5274,188.23,15.0865,992727,5274,233.023,13.9242,1228960,4454,196.01,26.6509,873029,5274,368.734,24.9563,1944700,5274,384.583,40.427,2028290,5274,391.315,26.5222,2063800,5274,441.288,38.2106,2327350,5274,439.225,44.4954,2316480,5274,437.154,38.4324,2305550,5274,376.72,24.6953,1986820
"10",2008,38105,5502,25.3556,6.11041,139506,5525,43.7028,10.9258,241458,5527,86.1413,15.883,476103,5246,82.7235,18.588,433968,4210,143.282,21.0776,603218,5527,210.216,39.0686,1161860,5486,109.961,18.9729,603244,5527,122.698,26.4726,678150,5369,152.838,27.6501,820586,5527,216.884,41.943,1198720,5527,192.541,17.0037,1064170,5527,213.928,29.8821,1182380,4386,227.631,15.5009,998388,5527,327.734,28.1914,1811390,5527,327.387,44.8912,1809470,5527,393.581,26.9141,2175320,5527,437.176,43.3168,2416270,5527,419.341,43.4699,2317700,5527,343.782,46.582,1900080,5527,293.321,42.8102,1621190
"11",2008,38049,4927,15.1242,5.11425,74517,4929,45.7391,12.5533,225448,4939,70.3419,15.2861,347419,4230,97.824,20.7091,413795,4633,191.737,54.0711,888316,4935,300.537,37.0538,1483150,4939,95.2796,14.7709,470586,4939,171.123,28.8701,845177,4702,176.941,22.3344,831975,4939,276.986,43.6743,1368030,4939,198.718,16.2817,981470,4939,231.182,16.7754,1141810,2121,218.116,20.3687,462624,4927,378.858,33.581,1866630,4939,387.947,32.9125,1916070,4939,382.243,25.9235,1887900,4939,446.313,28.4315,2204340,4939,428.529,33.7595,2116500,4939,424.704,37.8456,2097610,4939,438.341,32.2121,2164970
