"","year","zone","count.49","mean.49","stdev.49","sum.49","count.57","mean.57","stdev.57","sum.57","count.65","mean.65","stdev.65","sum.65"
"1",2000,38079,1565,0.197996,0.103404,0,2193,0.217972,0.0854709,0,1806,0.246102,0.0324775,0
"2",2000,38009,3975,0.251513,0.0322721,0,4263,0.248239,0.0327095,0,4068,0.249778,0.0227958,0
"3",2000,38067,1025,0.265113,0.0230559,0,2813,0.266415,0.0243249,0,2895,0.260151,0.0244661,0
"4",2000,38095,1434,0.20819,0.0798546,0,2602,0.225224,0.0465056,0,2555,0.226827,0.0249627,0
"5",2000,38019,535,0.227528,0.03743,0,3499,0.227531,0.0275835,0,3862,0.225542,0.0276656,0
"6",2000,38023,3097,0.205583,0.0222246,0,3271,0.203705,0.0230508,0,3030,0.205652,0.0189982,0
"7",2000,38013,2513,0.220954,0.0203852,0,2856,0.220003,0.0216563,0,2783,0.21861,0.0188454,0
"8",2000,38075,2230,0.239391,0.0188457,0,2299,0.23515,0.0186551,0,2295,0.2328,0.0157433,0
"9",2000,38101,2663,0.220515,0.0260623,0,4887,0.217772,0.0223181,0,5053,0.215639,0.0212147,0
"10",2000,38105,5186,0.205555,0.0162784,0,5307,0.205436,0.0185848,0,4968,0.206255,0.014662,0
"11",2000,38049,1329,0.235083,0.0648084,0,4376,0.242569,0.0272876,0,3974,0.2397,0.0224875,0
"12",2000,38061,3861,0.206655,0.0258138,0,4739,0.205667,0.0304309,0,4602,0.207719,0.0211213,0
"13",2000,38069,436,0.197988,0.0977362,0,2239,0.225696,0.042412,0,2121,0.226168,0.0285491,0
"14",2000,38071,2338,0.215333,0.034391,0,2770,0.208983,0.0439902,0,2543,0.212358,0.0320344,0
"15",2000,38099,3233,0.256861,0.0235,0,3342,0.254695,0.0252176,0,3328,0.250882,0.0208207,0
"16",2000,38005,1537,0.234775,0.0433323,0,2807,0.226398,0.0355201,0,2419,0.22094,0.0269805,0
"17",2000,38063,2256,0.231315,0.0377549,0,2347,0.227746,0.0376994,0,1972,0.232726,0.0231665,0
"18",2000,38035,3541,0.263374,0.020863,0,3710,0.258006,0.0222853,0,3701,0.258314,0.0198761,0
"19",2000,38053,7053,0.21183,0.0205872,0,7182,0.210579,0.0249961,0,7125,0.213388,0.0221526,0
"20",2000,38055,2085,0.201191,0.0512697,0,4900,0.210687,0.0348158,0,4659,0.214491,0.0237967,0
"21",2000,38027,1496,0.257111,0.0217081,0,1518,0.251532,0.0222024,0,969,0.247913,0.015495,0
"22",2000,38103,1940,0.249387,0.017643,0,3077,0.237442,0.0216527,0,3017,0.237049,0.0205423,0
"23",2000,38083,159,0.15313,0.0945331,0,1816,0.211248,0.0307819,0,1780,0.209843,0.0249391,0
"24",2000,38025,4833,0.223921,0.0238413,0,5231,0.225182,0.0241261,0,5219,0.227506,0.0198084,0
"25",2000,38091,1830,0.247301,0.023687,0,1853,0.240524,0.0268758,0,1836,0.248706,0.0233541,0
"26",2000,38039,1748,0.250339,0.0243941,0,1775,0.244142,0.0263325,0,1493,0.251282,0.0194423,0
"27",2000,38097,2228,0.267006,0.0204556,0,2231,0.26493,0.0205211,0,2200,0.262543,0.0215594,0
"28",2000,38031,1550,0.24454,0.0370203,0,1595,0.238838,0.0385895,0,1354,0.253041,0.0190787,0
"29",2000,38057,1754,0.209061,0.0466928,0,2691,0.217445,0.0208824,0,2697,0.221975,0.0179298,0
"30",2000,38007,3006,0.222518,0.0169933,0,3007,0.223974,0.0175977,0,3007,0.223539,0.0175764,0
"31",2000,38033,2551,0.212398,0.0155408,0,2568,0.211655,0.0145304,0,2557,0.211477,0.01322,0
"32",2000,38043,1092,0.241315,0.0287543,0,1705,0.233241,0.0311443,0,433,0.177091,0.0915503,0
"33",2000,38093,3737,0.238835,0.0266292,0,4454,0.236236,0.027765,0,2086,0.242071,0.0234395,0
"34",2000,38015,2963,0.218231,0.0600063,0,3568,0.226244,0.0346119,0,877,0.210362,0.0566351,0
"35",2000,38065,480,0.0641265,0.105289,0,1114,0.166139,0.0884163,0,1431,0.218498,0.0137319,0
"36",2000,38003,3734,0.245267,0.0253376,0,3769,0.24303,0.0265272,0,2299,0.243656,0.0208415,0
"37",2000,38017,4568,0.259813,0.022051,0,4576,0.258695,0.0241777,0,2942,0.138858,0.128174,0
"38",2000,38089,2788,0.212416,0.0158749,0,3440,0.209853,0.01538,0,3314,0.213623,0.0143625,0
"39",2000,38059,2549,0.220278,0.0348807,0,3805,0.209025,0.0421941,0,2088,0.147758,0.096513,0
"40",2000,38037,1875,0.213232,0.0245627,0,3220,0.173191,0.0762462,0,1859,0.0143555,0.0728798,0
"41",2000,38029,3555,0.225508,0.0257842,0,3761,0.224216,0.0312694,0,1491,0.211338,0.0538498,0
"42",2000,38047,1352,0.230953,0.0297357,0,2070,0.229367,0.0300448,0,642,0.226151,0.0188864,0
"43",2000,38087,2794,0.215664,0.0207822,0,3158,0.213603,0.0202127,0,3044,0.216022,0.0209094,0
"44",2000,38045,2808,0.244673,0.0242327,0,2914,0.242958,0.0249661,0,830,0.24945,0.0232867,0
"45",2000,38041,1948,0.202619,0.0156089,0,2709,0.197023,0.0185807,0,1176,0.200713,0.0171342,0
"46",2000,38073,2219,0.263788,0.0280708,0,2221,0.262159,0.0267136,0,279,0.17483,0.120066,0
