"","year","zone","count.1219","mean.1219","stdev.1219","sum.1219","count.1220","mean.1220","stdev.1220","sum.1220","count.1221","mean.1221","stdev.1221","sum.1221","count.1222","mean.1222","stdev.1222","sum.1222","count.1223","mean.1223","stdev.1223","sum.1223","count.1224","mean.1224","stdev.1224","sum.1224","count.1225","mean.1225","stdev.1225","sum.1225","count.1226","mean.1226","stdev.1226","sum.1226","count.1227","mean.1227","stdev.1227","sum.1227","count.1228","mean.1228","stdev.1228","sum.1228","count.1229","mean.1229","stdev.1229","sum.1229","count.1230","mean.1230","stdev.1230","sum.1230","count.1231","mean.1231","stdev.1231","sum.1231","count.101","mean.101","stdev.101","sum.101","count.102","mean.102","stdev.102","sum.102"
"1",2005,38079,72,0,0,0,72,0,0,0,72,0,0,0,72,2.72017,4.43192,195.852,72,0,0,0,72,0,0,0,72,0.240383,0.537513,17.3076,72,2.4111,3.16533,173.599,72,0,0,0,72,0,0,0,72,0,0,0,72,0.55,1.22984,39.6,72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2",2005,38009,120,0,0,0,120,0,0,0,120,0,0,0,120,1.76033,3.36023,211.24,120,1.12469,2.31125,134.963,120,0,0,0,120,4.17968,3.81537,501.562,120,0.530106,0.972279,63.6127,120,0.00783866,0.0422125,0.940639,120,0,0,0,120,1.70505,2.38438,204.606,120,0,0,0,120,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3",2005,38067,85,0,0,0,85,0,0,0,85,0,0,0,85,0,0,0,85,0.134904,0.539618,11.4669,85,0,0,0,85,0,0,0,85,0,0,0,85,1.32785,1.17313,112.867,85,0,0,0,85,0,0,0,85,0.125491,0.242173,10.6667,85,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4",2005,38095,79,0,0,0,79,0,0,0,79,0,0,0,79,0,0,0,79,0.223291,0.371087,17.64,79,0,0,0,79,0.203544,0.501852,16.08,79,0,0,0,79,0,0,0,79,0,0,0,79,0,0,0,79,0,0,0,79,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"5",2005,38019,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,3.68647,4.27214,376.02,102,0,0,0,102,0.157647,0.485114,16.08,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6",2005,38023,88,0,0,0,88,0,0,0,88,0.147273,0.91241,12.96,88,0,0,0,88,0,0,0,88,0,0,0,88,0.0463636,0.212465,4.08,88,0.188182,0.695679,16.56,88,0.353229,1.18175,31.0841,88,0,0,0,88,3.02465,2.32675,266.169,88,0,0,0,88,0.0368182,0.19598,3.24,NA,NA,NA,NA,NA,NA,NA,NA
"7",2005,38013,77,0,0,0,77,0,0,0,77,0,0,0,77,0.0331545,0.104844,2.55289,77,0,0,0,77,0,0,0,77,1.54026,2.05831,118.6,77,0.143656,0.318743,11.0615,77,3.44034,5.08473,264.906,77,0.411135,0.835862,31.6574,77,5.45596,3.32582,420.109,77,0.0410335,0.357721,3.15958,77,0.959065,1.87866,73.848,NA,NA,NA,NA,NA,NA,NA,NA
"8",2005,38075,60,0,0,0,60,0,0,0,60,0,0,0,60,0.0383133,0.115235,2.2988,60,1.44543,3.09686,86.7257,60,0,0,0,60,7.81245,1.95466,468.747,60,0,0,0,60,0.0313546,0.0799389,1.88128,60,0,0,0,60,3.83409,3.89822,230.045,60,0.0526596,0.404486,3.15958,60,0.0556404,0.427382,3.33842,NA,NA,NA,NA,NA,NA,NA,NA
"9",2005,38101,142,0,0,0,142,0,0,0,142,0,0,0,142,0.864657,1.68211,122.781,142,2.17786,3.95305,309.256,142,0,0,0,142,4.48054,3.86348,636.237,142,0.534596,1.45684,75.9127,142,0,0,0,142,0,0,0,142,0.748331,1.06683,106.263,142,0.410233,1.07716,58.2531,142,0.727472,1.54571,103.301,NA,NA,NA,NA,NA,NA,NA,NA
"10",2005,38105,164,0,0,0,164,0,0,0,164,0.323489,1.24909,53.0522,164,0.167404,0.453401,27.4542,164,1.56412,2.50006,256.516,164,0,0,0,164,2.4631,6.94617,403.949,164,0.151463,0.628568,24.84,164,1.20836,2.34763,198.171,164,0,0,0,164,3.03076,1.76665,497.044,164,0.43761,1.1747,71.768,164,0.648061,1.64754,106.282,NA,NA,NA,NA,NA,NA,NA,NA
"11",2005,38049,139,0,0,0,139,0,0,0,139,0,0,0,139,1.28579,2.51755,178.725,139,1.09128,2.62063,151.688,139,0,0,0,139,2.32446,3.39061,323.1,139,2.4457,3.25308,339.952,139,0.411246,0.524836,57.1631,139,0,0,0,139,0.729323,1.08033,101.376,139,0,0,0,139,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12",2005,38061,144,0,0,0,144,0,0,0,144,0,0,0,144,0.929641,1.76484,133.868,144,1.93184,2.39452,278.184,144,0,0,0,144,0.0324438,0.172193,4.67191,144,0.625782,1.26456,90.1126,144,0.628735,2.32059,90.5378,144,0.601646,1.61013,86.637,144,2.91277,2.81549,419.438,144,1.36383,1.48072,196.392,144,1.98193,2.42029,285.397,NA,NA,NA,NA,NA,NA,NA,NA
"13",2005,38069,77,0,0,0,77,0,0,0,77,0,0,0,77,10.4965,6.97206,808.233,77,0,0,0,77,0,0,0,77,0.093596,0.300401,7.20689,77,4.00126,3.34662,308.097,77,0.176821,0.21657,13.6152,77,0,0,0,77,0,0,0,77,0.175814,0.64075,13.5377,77,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14",2005,38071,90,0,0,0,90,0,0,0,90,0,0,0,90,2.16654,4.17061,194.988,90,0,0,0,90,0,0,0,90,4.30123,4.7706,387.111,90,0,0,0,90,0.145576,0.269467,13.1018,90,0,0,0,90,0,0,0,90,1.69189,2.19591,152.271,90,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"15",2005,38099,92,0,0,0,92,0,0,0,92,0,0,0,92,0,0,0,92,0.024928,0.237798,2.29338,92,0,0,0,92,2.01777,3.71585,185.635,92,0.337826,0.896372,31.08,92,0.230255,0.554422,21.1835,92,0,0,0,92,0,0,0,92,0.274184,0.732287,25.2249,92,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"16",2005,38005,102,0,0,0,102,0,0,0,102,0,0,0,102,6.84325,7.44355,698.012,102,0.0494118,0.197647,5.04,102,0,0,0,102,0.103529,0.197423,10.56,102,0.214134,0.809959,21.8417,102,0.573254,0.656276,58.472,102,0,0,0,102,0,0,0,102,1.53542,1.42347,156.613,102,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"17",2005,38063,73,0,0,0,73,0,0,0,73,0,0,0,73,0,0,0,73,0,0,0,73,0,0,0,73,1.55671,2.56991,113.64,73,1.32247,2.71334,96.54,73,0.399452,0.236943,29.16,73,0,0,0,73,0.234247,0.476408,17.1,73,0.577808,0.9084,42.18,73,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"18",2005,38035,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0,0,0,110,0.0829091,0.201284,9.12,110,0.828,2.14868,91.08,110,0.006,0.0626418,0.66,110,0,0,0,110,0.130909,0.467439,14.4,110,0.894315,1.23097,98.3747,110,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"19",2005,38053,200,0,0,0,200,0,0,0,200,0.0869072,0.299745,17.3814,200,0.0273325,0.221489,5.4665,200,0.160299,0.909392,32.0597,200,0,0,0,200,0.364389,1.4948,72.8779,200,0.792479,1.60621,158.496,200,0.0763591,0.351768,15.2718,200,0.446533,1.10077,89.3067,200,7.00352,2.09142,1400.7,200,0.227452,0.512986,45.4904,200,0.411,1.11859,82.2,NA,NA,NA,NA,NA,NA,NA,NA
"20",2005,38055,161,0,0,0,161,0,0,0,161,0,0,0,161,5.36676,8.77718,864.048,161,1.03752,2.27078,167.04,161,0,0,0,161,2.00149,2.95107,322.24,161,0.181118,0.92056,29.16,161,0.0238509,0.149426,3.84,161,0,0,0,161,2.81593,2.69021,453.365,161,1.16872,1.54009,188.165,161,3.09093,4.59225,497.64,NA,NA,NA,NA,NA,NA,NA,NA
"21",2005,38027,43,0,0,0,43,0,0,0,43,0,0,0,43,0.0613953,0.277979,2.64,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0.996279,1.34905,42.84,43,0,0,0,43,0,0,0,43,0.664186,1.11782,28.56,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"22",2005,38103,87,0,0,0,87,0,0,0,87,0,0,0,87,1.44552,2.45256,125.76,87,0,0,0,87,0,0,0,87,0,0,0,87,2.95724,4.24702,257.28,87,0,0,0,87,0,0,0,87,0,0,0,87,2.31172,2.77793,201.12,87,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"23",2005,38083,69,0,0,0,69,0,0,0,69,0,0,0,69,1.30696,2.5524,90.18,69,0,0,0,69,0,0,0,69,0,0,0,69,1.60435,2.17424,110.7,69,0.0278261,0.161055,1.92,69,0,0,0,69,0.790435,1.77298,54.54,69,0.109565,0.326077,7.56,69,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"24",2005,38025,145,0,0,0,145,0,0,0,145,0,0,0,145,0,0,0,145,0.353259,1.14628,51.2226,145,0,0,0,145,0.0592321,0.407513,8.58866,145,0.0289859,0.199421,4.20296,145,0.0600453,0.118009,8.70657,145,0,0,0,145,13.3932,6.28309,1942.02,145,3.22489,1.97453,467.608,145,7.09929,3.62007,1029.4,NA,NA,NA,NA,NA,NA,NA,NA
"25",2005,38091,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,8.4816,8.50878,424.08,50,0.1728,0.251897,8.64,50,0,0,0,50,0,0,0,50,0.7128,1.52138,35.64,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"26",2005,38039,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0.3816,2.6712,19.08,50,0.0108,0.0756,0.54,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"27",2005,38097,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0,56,0.243214,0.293812,13.62,56,2.08821,3.73425,116.94,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"28",2005,38031,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,43,0.468837,1.16425,20.16,43,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"29",2005,38057,77,0,0,0,77,0,0,0,77,0,0,0,77,0,0,0,77,0.187013,0.92881,14.4,77,0,0,0,77,0,0,0,77,0,0,0,77,0,0,0,77,0,0,0,77,13.6742,6.33896,1052.92,77,3.71623,2.63385,286.15,77,8.89507,2.41118,684.921,NA,NA,NA,NA,NA,NA,NA,NA
"30",2005,38007,89,0,0,0,89,0,0,0,89,0,0,0,89,2.42727,3.48487,216.027,89,0,0,0,89,0,0,0,89,0.302642,0.780913,26.9351,89,0.864625,1.45593,76.9516,89,0.179832,0.463998,16.005,89,0.663711,1.29098,59.0703,89,11.643,1.92881,1036.22,89,0.789274,0.72153,70.2454,89,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"31",2005,38033,70,0,0,0,70,0,0,0,70,0.488069,0.767735,34.1648,70,3.55663,2.0416,248.964,70,0.679621,1.03653,47.5734,70,0.104373,0.608594,7.30611,70,0.0804822,0.335487,5.63375,70,0.0815621,0.475585,5.70935,70,0,0,0,70,0.30241,0.886129,21.1687,70,11.2683,2.6277,788.78,70,0.394854,0.337825,27.6397,70,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"32",2005,38043,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0,0,0,105,0.780571,1.50871,81.96,105,0,0,0,105,0.302801,1.07242,31.7941,105,5.04702,4.77367,529.937,105,3.12773,3.06264,328.412,105,0.0548571,0.152716,5.76,NA,NA,NA,NA,NA,NA,NA,NA
